site,subsite,pit,startDepth,endDepth,f476,pitID,ecosystem
SN,SJER,R,0,5,0.10833779678475725,SNSJERR,Oak savanna
RC,SWL,T,0,10,0.1603472127433946,RCSWLT,Aspen stand
RC,NL,M,5,10,0.2352329279289729,RCNLM,Semi-arid shrubland
CA,MC,M,5,10,0.25900415941458277,CAMCM,Fir and pine forest
CA,MC,R,0,6,0.2736294031050257,CAMCR,Fir and pine forest
CA,SD,T,0,10,0.27530801392505244,CASDT,Desert
SN,SJER,M,0,10,0.34274681411712105,SNSJERM,Oak savanna
CA,MC,T,6,10,0.475208563148048,CAMCT,Fir and pine forest
SN,SJER,T,0,10,0.4839194515194784,SNSJERT,Oak savanna
R8,H,R,0,10,0.5309606044146968,R8HR,Temperate hardwood forest
RC,NL,T,10,20,0.5505406008685173,RCNLT,Semi-arid shrubland
LUQ,IC,R,0,10,0.6155278338734507,LUQICR,Older tropical rainforest
R8,P,M,0,10,0.6474728602447819,R8PM,Temperate pine forest
R8,H,M,0,10,0.6656791104222476,R8HM,Temperate hardwood forest
LUQ,EV,R,0,10,0.6762236893544097,LUQEVR,Younger tropical rainforest
LUQ,EV,M,0,10,0.6910820758609384,LUQEVM,Younger tropical rainforest
R8,P,R,0,10,0.7041384224459568,R8PR,Temperate pine forest
LUQ,IC,T,0,10,0.7370611008373296,LUQICT,Older tropical rainforest
LUQ,IC,M,0,10,0.8663591981410957,LUQICM,Older tropical rainforest
LUQ,EV,T,0,10,0.905837930992206,LUQEVT,Younger tropical rainforest
