site,subsite,pit,pitID,ecosystem,socMean,socMax,socMin
SN,SJER,M,SNSJERM,Oak savanna,0.25906580588235295,0.906224,0.0683827
R8,H,M,R8HM,Temperate hardwood forest,0.2644867391304348,1.47949,0.0326454
R8,P,M,R8PM,Temperate pine forest,0.33531826818181826,3.0608,0.044681
R8,H,R,R8HR,Temperate hardwood forest,0.34654151199999994,4.44973,0.0534945
LUQ,IC,M,LUQICM,Older tropical rainforest,0.5680568545454545,3.26067,0.0673118
SN,SJER,T,SNSJERT,Oak savanna,0.57359125,1.25412,0.2419
R8,P,R,R8PR,Temperate pine forest,0.6370000600000001,11.1828,0.0387158
LUQ,IC,R,LUQICR,Older tropical rainforest,0.6711361440000001,5.53581,0.067191
CA,SD,T,CASDT,Desert,0.6840303333333333,2.62138,0.22789
LUQ,EV,M,LUQEVM,Younger tropical rainforest,0.7638887999999999,7.30816,0.129299
LUQ,EV,R,LUQEVR,Younger tropical rainforest,0.7774908500000001,3.47713,0.167368
SN,SJER,R,SNSJERR,Oak savanna,0.8933079,1.84175,0.403638
CA,MC,T,CAMCT,Fir and pine forest,1.7433595,11.8919,0.199573
RC,NL,T,RCNLT,Semi-arid shrubland,1.7467489500000002,10.3143,0.247612
LUQ,EV,T,LUQEVT,Younger tropical rainforest,2.154866125,7.27096,0.431699
RC,SWL,T,RCSWLT,Aspen stand,2.4230844,5.65542,0.585034
RC,NL,M,RCNLM,Semi-arid shrubland,2.90676095,16.3484,0.519282
CA,MC,M,CAMCM,Fir and pine forest,3.450053666666667,10.0053,0.920778
CA,MC,R,CAMCR,Fir and pine forest,3.8427388636363635,21.1507,0.320067
LUQ,IC,T,LUQICT,Older tropical rainforest,4.059073692307692,13.6366,0.692579
