site,subsite,pit,pitID,ecosystem,clayMean,clayMax,clayMin,clayContent_B
CA,SD,T,CASDT,Desert,13.79013888888889,17.6,11.040000000000001,89.4908287248732
SN,SJER,R,SNSJERR,Oak savanna,16.06687878787879,21.825,8.994,751.209471509747
CA,MC,R,CAMCR,Fir and pine forest,17.861666666666668,22.5,16.5,150.426624198622
SN,SJER,T,SNSJERT,Oak savanna,18.51833333333333,33.559999999999995,11.933333333333332,573.782562413681
SN,SJER,M,SNSJERM,Oak savanna,19.784411764705883,27.419999999999998,13.5,1309.24810985566
R8,P,R,R8PR,Temperate pine forest,22.683325396825396,47.54,2.724,2614.74348600308
RC,NL,T,RCNLT,Semi-arid shrubland,23.198416666666667,32.36,15.559999999999999,635.14519168095
RC,NL,M,RCNLM,Semi-arid shrubland,23.861816666666666,34.86666666666667,9.608,1196.70538629312
R8,H,M,R8HM,Temperate hardwood forest,25.28797619047619,46.4,4.328,1699.31696913073
R8,H,R,R8HR,Temperate hardwood forest,26.9825,53.63333333333333,4.941999999999999,2575.53982891497
LUQ,IC,R,LUQICR,Older tropical rainforest,28.12541304347826,63.739999999999995,10.602,3526.85355239047
R8,P,M,R8PM,Temperate pine forest,31.030925925925928,41.375,15.4,1244.95452638485
RC,SWL,T,RCSWLT,Aspen stand,32.638333333333335,49.6,15.433333333333332,624.989388352463
CA,MC,M,CAMCM,Fir and pine forest,40.11330925925926,53.36666666666667,24.066666666666666,482.01431596771903
LUQ,IC,T,LUQICT,Older tropical rainforest,41.23,54.48,24.475,1917.82054104989
LUQ,IC,M,LUQICM,Older tropical rainforest,41.87731376811594,73.28,18.96,2611.17905129758
CA,MC,T,CAMCT,Fir and pine forest,43.166666666666664,57.1,23.366666666666664,1527.42881053109
LUQ,EV,M,LUQEVM,Younger tropical rainforest,70.59340333333333,84.94,52.475,2879.98426630981
LUQ,EV,T,LUQEVT,Younger tropical rainforest,74.595,84.3,58.9,1018.27706284502
LUQ,EV,R,LUQEVR,Younger tropical rainforest,79.17641666666667,86.32000000000001,62.919999999999995,3627.93361643127
